Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.42,21,2,"(0.021003663003663003, 0.38000000000000816)"
819,17.57,21,2,"(0.021003663003663003, 0.38000000000000816)"
1638,34.76,21,2,"(0.021003663003663003, 0.38000000000000816)"
2457,51.91,21,2,"(0.021003663003663003, 0.38000000000000816)"
3276,69.26,21,2,"(0.021003663003663003, 0.38000000000000816)"
