Bset_in #,# of Counts
0,513.0
1,175.0
2,190.0
3,279.0
4,297.0
5,338.0
6,432.0
7,527.0
8,589.0
9,658.0
10,751.0
11,864.0
12,1004.0
13,1099.0
14,1219.0
15,1317.0
16,1518.0
17,1601.0
18,1745.0
19,1955.0
20,2136.0
21,2121.0
22,2327.0
23,2503.0
24,2580.0
25,2741.0
26,2783.0
27,2946.0
28,2895.0
29,3003.0
30,3135.0
31,3068.0
32,3158.0
33,3118.0
34,3183.0
35,3071.0
36,3136.0
37,2990.0
38,2830.0
39,2974.0
40,2756.0
41,2654.0
42,2573.0
43,2608.0
44,2298.0
45,2208.0
46,2174.0
47,2038.0
48,1832.0
49,1671.0
50,1645.0
51,1519.0
52,1517.0
53,1323.0
54,1256.0
55,1171.0
56,1148.0
57,1120.0
58,1043.0
59,969.0
60,902.0
61,879.0
62,832.0
63,812.0
64,782.0
65,713.0
66,675.0
67,656.0
68,642.0
69,655.0
70,612.0
71,614.0
72,562.0
73,526.0
74,484.0
75,452.0
76,430.0
77,386.0
78,354.0
79,311.0
80,330.0
81,247.0
82,207.0
83,231.0
84,189.0
85,145.0
86,127.0
87,103.0
88,78.0
89,58.0
90,52.0
91,52.0
92,42.0
93,35.0
94,23.0
95,17.0
96,15.0
97,13.0
98,8.0
99,13.0
100,3.0
101,1.0
102,4.0
103,2.0
104,2.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
