Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,Slope for line of fit,Y-intercept for line of fit
0,0.53,21,1,0.01980952380952381,1.5159999999999958
819,17.72,21,1,0.01980952380952381,1.5159999999999958
1638,34.95,21,1,0.01980952380952381,1.5159999999999958
2457,52.22,21,1,0.01980952380952381,1.5159999999999958
3276,64.4,21,1,0.01980952380952381,1.5159999999999958
