Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.53,21,1,"(0.021015873015873016, 0.5219999999999955)"
819,17.72,21,1,"(0.021015873015873016, 0.5219999999999955)"
1638,34.95,21,1,"(0.021015873015873016, 0.5219999999999955)"
2457,52.16,21,1,"(0.021015873015873016, 0.5219999999999955)"
3276,69.37,21,1,"(0.021015873015873016, 0.5219999999999955)"
4095,72.8,21,1,"(0.021015873015873016, 0.5219999999999955)"
