Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope for line of fit,Y-intercept for line of fit
0,0.11,20,0,0.020854700854700852,-0.06199999999999648
819,16.87,20,0,0.020854700854700852,-0.06199999999999648
1638,33.98,20,0,0.020854700854700852,-0.06199999999999648
2457,51.17,20,0,0.020854700854700852,-0.06199999999999648
3276,68.36,20,0,0.020854700854700852,-0.06199999999999648
