Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,x and y values fit to graph
0,0.11,20,0,"(0.020851037851037847, -0.03399999999998936)"
819,16.92,20,0,"(0.020851037851037847, -0.03399999999998936)"
1638,34.02,20,0,"(0.020851037851037847, -0.03399999999998936)"
2457,51.19,20,0,"(0.020851037851037847, -0.03399999999998936)"
3276,68.36,20,0,"(0.020851037851037847, -0.03399999999998936)"
4095,72.06,20,0,"(0.020851037851037847, -0.03399999999998936)"
