Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,Slope for line of fit,Y-intercept for line of fit
0,0.61,20,3,0.019938949938949936,1.4999999999999944
819,17.84,20,3,0.019938949938949936,1.4999999999999944
1638,35.07,20,3,0.019938949938949936,1.4999999999999944
2457,52.2,20,3,0.019938949938949936,1.4999999999999944
3276,65.08,20,3,0.019938949938949936,1.4999999999999944
