Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,Slope for line of fit,Y-intercept for line of fit
0,0.11,21,3,0.01995970695970696,0.831999999999997
819,17.02,21,3,0.01995970695970696,0.831999999999997
1638,34.36,21,3,0.01995970695970696,0.831999999999997
2457,51.57,21,3,0.01995970695970696,0.831999999999997
3276,64.57,21,3,0.01995970695970696,0.831999999999997
