Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.42,21,2,"(0.020986568986568987, 0.38200000000000756)"
819,17.55,21,2,"(0.020986568986568987, 0.38200000000000756)"
1638,34.69,21,2,"(0.020986568986568987, 0.38200000000000756)"
2457,51.99,21,2,"(0.020986568986568987, 0.38200000000000756)"
3276,69.14,21,2,"(0.020986568986568987, 0.38200000000000756)"
4095,72.57,21,2,"(0.020986568986568987, 0.38200000000000756)"
