Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,21,3,"(0.020993894993894993, -0.06199999999999648)"
819,16.85,21,3,"(0.020993894993894993, -0.06199999999999648)"
1638,34.36,21,3,"(0.020993894993894993, -0.06199999999999648)"
2457,51.61,21,3,"(0.020993894993894993, -0.06199999999999648)"
3276,68.7,21,3,"(0.020993894993894993, -0.06199999999999648)"
