Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,0,"(0.02083394383394383, -0.013999999999995618)"
819,16.94,20,0,"(0.02083394383394383, -0.013999999999995618)"
1638,34.04,20,0,"(0.02083394383394383, -0.013999999999995618)"
2457,51.15,20,0,"(0.02083394383394383, -0.013999999999995618)"
3276,68.32,20,0,"(0.02083394383394383, -0.013999999999995618)"
4095,72.06,20,0,"(0.02083394383394383, -0.013999999999995618)"
