Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope for line of fit,Y-intercept for line of fit
0,0.11,20,0,"(0.020846153846153848, -0.04600000000000467)"
819,16.9,20,0,"(0.020846153846153848, -0.04600000000000467)"
1638,33.98,20,0,"(0.020846153846153848, -0.04600000000000467)"
2457,51.17,20,0,"(0.020846153846153848, -0.04600000000000467)"
3276,68.34,20,0,"(0.020846153846153848, -0.04600000000000467)"
