Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.17,20,1,"(0.02101831501831502, 0.1980000000000016)"
819,17.42,20,1,"(0.02101831501831502, 0.1980000000000016)"
1638,34.65,20,1,"(0.02101831501831502, 0.1980000000000016)"
2457,51.88,20,1,"(0.02101831501831502, 0.1980000000000016)"
3276,69.01,20,1,"(0.02101831501831502, 0.1980000000000016)"
4095,72.61,20,1,"(0.02101831501831502, 0.1980000000000016)"
