Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.17,20,1,"(0.021028083028083025, 0.19800000000000795)"
819,17.44,20,1,"(0.021028083028083025, 0.19800000000000795)"
1638,34.67,20,1,"(0.021028083028083025, 0.19800000000000795)"
2457,51.86,20,1,"(0.021028083028083025, 0.19800000000000795)"
3276,69.07,20,1,"(0.021028083028083025, 0.19800000000000795)"
