Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,21,0,"(0.021026862026862023, 0.04800000000000722)"
819,17.27,21,0,"(0.021026862026862023, 0.04800000000000722)"
1638,34.36,21,0,"(0.021026862026862023, 0.04800000000000722)"
2457,51.72,21,0,"(0.021026862026862023, 0.04800000000000722)"
3276,68.99,21,0,"(0.021026862026862023, 0.04800000000000722)"
