Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,21,3,"(0.020973137973137976, 0.014000000000011507)"
819,17.04,21,3,"(0.020973137973137976, 0.014000000000011507)"
1638,34.38,21,3,"(0.020973137973137976, 0.014000000000011507)"
2457,51.59,21,3,"(0.020973137973137976, 0.014000000000011507)"
3276,68.72,21,3,"(0.020973137973137976, 0.014000000000011507)"
4095,72.23,21,3,"(0.020973137973137976, 0.014000000000011507)"
