Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,Slope for line of fit,Y-intercept for line of fit
0,0.11,20,2,0.019893772893772893,1.0320000000000042
819,17.27,20,2,0.019893772893772893,1.0320000000000042
1638,34.59,20,2,0.019893772893772893,1.0320000000000042
2457,51.82,20,2,0.019893772893772893,1.0320000000000042
3276,64.3,20,2,0.019893772893772893,1.0320000000000042
