Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,0,"(0.020855921855921857, -0.04600000000000467)"
819,16.9,20,0,"(0.020855921855921857, -0.04600000000000467)"
1638,34.02,20,0,"(0.020855921855921857, -0.04600000000000467)"
2457,51.17,20,0,"(0.020855921855921857, -0.04600000000000467)"
3276,68.38,20,0,"(0.020855921855921857, -0.04600000000000467)"
4095,72.06,20,0,"(0.020855921855921857, -0.04600000000000467)"
