Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,21,0,"(0.02102442002442002, 0.07200000000000288)"
819,17.27,21,0,"(0.02102442002442002, 0.07200000000000288)"
1638,34.48,21,0,"(0.02102442002442002, 0.07200000000000288)"
2457,51.7,21,0,"(0.02102442002442002, 0.07200000000000288)"
3276,68.99,21,0,"(0.02102442002442002, 0.07200000000000288)"
4095,72.38,21,0,"(0.02102442002442002, 0.07200000000000288)"
