Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,0,"(0.020851037851037854, -0.038000000000003996)"
819,16.9,20,0,"(0.020851037851037854, -0.038000000000003996)"
1638,34.02,20,0,"(0.020851037851037854, -0.038000000000003996)"
2457,51.21,20,0,"(0.020851037851037854, -0.038000000000003996)"
3276,68.34,20,0,"(0.020851037851037854, -0.038000000000003996)"
