Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,0,"(0.020848595848595847, -0.04199999999999321)"
819,16.9,20,0,"(0.020848595848595847, -0.04199999999999321)"
1638,34.02,20,0,"(0.020848595848595847, -0.04199999999999321)"
2457,51.15,20,0,"(0.020848595848595847, -0.04199999999999321)"
3276,68.36,20,0,"(0.020848595848595847, -0.04199999999999321)"
