Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.53,21,1,"(0.02104517704517704, 0.5099999999999992)"
819,17.74,21,1,"(0.02104517704517704, 0.5099999999999992)"
1638,34.95,21,1,"(0.02104517704517704, 0.5099999999999992)"
2457,52.22,21,1,"(0.02104517704517704, 0.5099999999999992)"
3276,69.47,21,1,"(0.02104517704517704, 0.5099999999999992)"
