Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.61,20,3,"(0.021037851037851035, 0.5999999999999996)"
819,17.84,20,3,"(0.021037851037851035, 0.5999999999999996)"
1638,35.05,20,3,"(0.021037851037851035, 0.5999999999999996)"
2457,52.24,20,3,"(0.021037851037851035, 0.5999999999999996)"
3276,69.56,20,3,"(0.021037851037851035, 0.5999999999999996)"
4095,72.92,20,3,"(0.021037851037851035, 0.5999999999999996)"
