Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.63,20,3,"(0.021028083028083032, 0.6039999999999984)"
819,17.84,20,3,"(0.021028083028083032, 0.6039999999999984)"
1638,35.01,20,3,"(0.021028083028083032, 0.6039999999999984)"
2457,52.2,20,3,"(0.021028083028083032, 0.6039999999999984)"
3276,69.56,20,3,"(0.021028083028083032, 0.6039999999999984)"
