Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,2,"(0.02104884004884005, 0.08200000000000293)"
819,17.27,20,2,"(0.02104884004884005, 0.08200000000000293)"
1638,34.57,20,2,"(0.02104884004884005, 0.08200000000000293)"
2457,51.82,20,2,"(0.02104884004884005, 0.08200000000000293)"
3276,69.03,20,2,"(0.02104884004884005, 0.08200000000000293)"
