Written Dac Setting,Voltage Observed,Written Dac setting,Written FPGA value,slope and y-intercept for line of fit
0,0.11,20,2,"(0.02104151404151404, 0.08200000000000611)"
819,17.25,20,2,"(0.02104151404151404, 0.08200000000000611)"
1638,34.57,20,2,"(0.02104151404151404, 0.08200000000000611)"
2457,51.82,20,2,"(0.02104151404151404, 0.08200000000000611)"
3276,68.99,20,2,"(0.02104151404151404, 0.08200000000000611)"
4095,72.38,20,2,"(0.02104151404151404, 0.08200000000000611)"
